Motion,z:\calebroom\20150608\09\090006.mp4,20150608-091737.mp4,1433726257.356,1433726265.286,7.930s,15380,15496
Noise,z:\calebroom\20150608\09\090006.mp4,20150608-091758.mp4,1433726278.684,1433726278.957,0.273s,15692,15696
Noise,z:\calebroom\20150608\09\090006.mp4,20150608-092021.mp4,1433726421.143,1433726421.143,0.000s,17776,17776
Motion,z:\calebroom\20150608\09\093008.mp4,20150608-093920.mp4,1433727560.134,1433727572.143,12.009s,8092,8268
Noise,z:\calebroom\20150608\09\093008.mp4,20150608-094115.mp4,1433727675.310,1433727675.310,0.000s,9780,9780
Noise,z:\calebroom\20150608\09\093008.mp4,20150608-094605.mp4,1433727965.159,1433727966.524,1.365s,14028,14048
Noise,z:\calebroom\20150608\09\093008.mp4,20150608-095244.mp4,1433728364.453,1433728364.453,0.000s,19880,19880
Noise,z:\calebroom\20150608\09\093008.mp4,20150608-095434.mp4,1433728474.716,1433728474.716,0.000s,21496,21496
Motion,z:\calebroom\20150608\09\093008.mp4,20150608-095514.mp4,1433728514.291,1433728533.669,19.378s,22076,22360
Motion,z:\calebroom\20150608\09\093008.mp4,20150608-095549.mp4,1433728549.226,1433728557.959,8.734s,22588,22716
Motion,z:\calebroom\20150608\09\093008.mp4,20150608-095620.mp4,1433728580.340,1433728807.962,227.622s,23044,26380
Motion,z:\calebroom\20150608\10\100009.mp4,20150608-100009.mp4,1433728809.273,1433729225.941,416.669s,4,6112
Motion,z:\calebroom\20150608\10\100009.mp4,20150608-100722.mp4,1433729242.586,1433729525.550,282.964s,6356,10504
Motion,z:\calebroom\20150608\10\100009.mp4,20150608-101245.mp4,1433729565.934,1433729584.216,18.282s,11096,11364
Motion,z:\calebroom\20150608\10\100009.mp4,20150608-101315.mp4,1433729595.677,1433729604.136,8.459s,11532,11656
Motion,z:\calebroom\20150608\10\100009.mp4,20150608-101359.mp4,1433729639.881,1433729664.985,25.104s,12180,12548
Noise,z:\calebroom\20150608\10\100009.mp4,20150608-101529.mp4,1433729729.109,1433729730.473,1.364s,13488,13508
Motion,z:\calebroom\20150608\10\100009.mp4,20150608-101656.mp4,1433729816.972,1433730027.899,210.927s,14776,17868
Motion,z:\calebroom\20150608\10\100009.mp4,20150608-102039.mp4,1433730039.905,1433730090.658,50.753s,18044,18788
Motion,z:\calebroom\20150608\10\100009.mp4,20150608-102142.mp4,1433730102.664,1433730172.519,69.854s,18964,19988
Motion,z:\calebroom\20150608\10\100009.mp4,20150608-102311.mp4,1433730191.346,1433730392.177,200.830s,20264,23208
Motion,z:\calebroom\20150608\10\100009.mp4,20150608-102652.mp4,1433730412.642,1433730608.834,196.192s,23508,26384
Motion,z:\calebroom\20150608\10\103010.mp4,20150608-103010.mp4,1433730610.546,1433730624.752,14.205s,8,216
Motion,z:\calebroom\20150608\10\103010.mp4,20150608-103038.mp4,1433730638.957,1433730673.650,34.694s,424,932
Motion,z:\calebroom\20150608\10\103010.mp4,20150608-103125.mp4,1433730685.397,1433730690.588,5.190s,1104,1180
Motion,z:\calebroom\20150608\10\103010.mp4,20150608-103149.mp4,1433730709.710,1433730715.993,6.283s,1460,1552
Noise,z:\calebroom\20150608\10\103010.mp4,20150608-103236.mp4,1433730756.150,1433730756.150,0.000s,2140,2140
Motion,z:\calebroom\20150608\10\103010.mp4,20150608-103357.mp4,1433730837.011,1433730851.763,14.752s,3324,3540
Noise,z:\calebroom\20150608\10\103010.mp4,20150608-103543.mp4,1433730943.004,1433730943.004,0.000s,4876,4876
Noise,z:\calebroom\20150608\10\103010.mp4,20150608-103635.mp4,1433730995.454,1433730995.454,0.000s,5644,5644
Noise,z:\calebroom\20150608\10\103010.mp4,20150608-103929.mp4,1433731169.195,1433731169.195,0.000s,8188,8188
Noise,z:\calebroom\20150608\10\103010.mp4,20150608-105959.mp4,1433732399.316,1433732399.316,0.000s,26200,26200
Noise,z:\calebroom\20150608\11\110011.mp4,20150608-110501.mp4,1433732701.835,1433732701.835,0.000s,4260,4260
Motion,z:\calebroom\20150608\11\110011.mp4,20150608-110753.mp4,1433732873.879,1433732878.521,4.642s,6780,6848
Noise,z:\calebroom\20150608\11\110011.mp4,20150608-111229.mp4,1433733149.148,1433733149.148,0.000s,10812,10812
Noise,z:\calebroom\20150608\11\110011.mp4,20150608-111308.mp4,1433733188.199,1433733188.745,0.546s,11384,11392
Noise,z:\calebroom\20150608\11\110011.mp4,20150608-111542.mp4,1433733342.492,1433733342.492,0.000s,13644,13644
Noise,z:\calebroom\20150608\11\110011.mp4,20150608-111815.mp4,1433733495.966,1433733497.058,1.092s,15892,15908
Noise,z:\calebroom\20150608\11\110011.mp4,20150608-112140.mp4,1433733700.779,1433733701.326,0.546s,18892,18900
Noise,z:\calebroom\20150608\11\113013.mp4,20150608-113113.mp4,1433734273.798,1433734273.798,0.000s,888,888
Noise,z:\calebroom\20150608\11\113013.mp4,20150608-113627.mp4,1433734587.646,1433734587.646,0.000s,5472,5472
Noise,z:\calebroom\20150608\11\113013.mp4,20150608-113831.mp4,1433734711.432,1433734711.432,0.000s,7280,7280
Motion,z:\calebroom\20150608\11\113013.mp4,20150608-115937.mp4,1433735977.231,1433735986.816,9.585s,25768,25908
Motion,z:\calebroom\20150608\12\120014.mp4,20150608-120841.mp4,1433736521.547,1433736529.490,7.943s,7412,7528
Motion,z:\calebroom\20150608\12\120014.mp4,20150608-121629.mp4,1433736989.104,1433737008.003,18.899s,14240,14516
Noise,z:\calebroom\20150608\12\120014.mp4,20150608-121745.mp4,1433737065.797,1433737067.167,1.370s,15360,15380
Motion,z:\calebroom\20150608\12\120014.mp4,20150608-122852.mp4,1433737732.483,1433737741.248,8.765s,25096,25224
Motion,z:\calebroom\20150608\12\120014.mp4,20150608-122914.mp4,1433737754.669,1433737759.600,4.930s,25420,25492
Noise,z:\calebroom\20150608\12\123015.mp4,20150608-124217.mp4,1433738537.172,1433738537.445,0.273s,10580,10584
Motion,z:\calebroom\20150608\12\123015.mp4,20150608-124457.mp4,1433738697.989,1433738718.193,20.204s,12936,13232
Noise,z:\calebroom\20150608\13\130017.mp4,20150608-130942.mp4,1433740182.248,1433740189.351,7.103s,8276,8380
Noise,z:\calebroom\20150608\13\130017.mp4,20150608-131035.mp4,1433740235.522,1433740235.795,0.273s,9056,9060
Motion,z:\calebroom\20150608\13\130017.mp4,20150608-131415.mp4,1433740455.993,1433740469.380,13.387s,12284,12480
Motion,z:\calebroom\20150608\13\130017.mp4,20150608-131549.mp4,1433740549.154,1433740551.886,2.732s,13648,13688
Motion,z:\calebroom\20150608\13\130017.mp4,20150608-131831.mp4,1433740711.161,1433740752.414,41.253s,16020,16624
Noise,z:\calebroom\20150608\13\130017.mp4,20150608-132048.mp4,1433740848.853,1433740849.946,1.093s,18036,18052
Noise,z:\calebroom\20150608\13\130017.mp4,20150608-132104.mp4,1433740864.972,1433740864.972,0.000s,18272,18272
Noise,z:\calebroom\20150608\13\130017.mp4,20150608-132129.mp4,1433740889.560,1433740892.838,3.278s,18632,18680
Noise,z:\calebroom\20150608\13\130017.mp4,20150608-132326.mp4,1433741006.762,1433741006.762,0.000s,20348,20348
Motion,z:\calebroom\20150608\13\130017.mp4,20150608-133014.mp4,1433741414.648,1433741416.833,2.186s,26320,26352
Motion,z:\calebroom\20150608\13\133018.mp4,20150608-133018.mp4,1433741418.273,1433741427.286,9.013s,4,136
Noise,z:\calebroom\20150608\13\133018.mp4,20150608-133353.mp4,1433741633.771,1433741633.771,0.000s,3160,3160
Motion,z:\calebroom\20150608\13\133018.mp4,20150608-133737.mp4,1433741857.189,1433741875.216,18.026s,6432,6696
Noise,z:\calebroom\20150608\13\133018.mp4,20150608-134121.mp4,1433742081.154,1433742081.154,0.000s,9712,9712
Motion,z:\calebroom\20150608\13\133018.mp4,20150608-134449.mp4,1433742289.004,1433742365.480,76.476s,12756,13876
Noise,z:\calebroom\20150608\13\133018.mp4,20150608-134619.mp4,1433742379.683,1433742380.502,0.819s,14084,14096
Motion,z:\calebroom\20150608\13\133018.mp4,20150608-134634.mp4,1433742394.705,1433742415.736,21.031s,14304,14612
Motion,z:\calebroom\20150608\13\133018.mp4,20150608-134708.mp4,1433742428.573,1433742489.480,60.907s,14800,15692
Motion,z:\calebroom\20150608\13\133018.mp4,20150608-134822.mp4,1433742502.317,1433742541.647,39.330s,15880,16456
Motion,z:\calebroom\20150608\13\133018.mp4,20150608-134918.mp4,1433742558.035,1433742578.520,20.485s,16696,16996
Motion,z:\calebroom\20150608\13\133018.mp4,20150608-134954.mp4,1433742594.361,1433742605.832,11.471s,17228,17396
Noise,z:\calebroom\20150608\13\133018.mp4,20150608-135023.mp4,1433742623.586,1433742633.692,10.106s,17656,17804
Noise,z:\calebroom\20150608\13\133018.mp4,20150608-135123.mp4,1433742683.128,1433742688.044,4.916s,18528,18600
